,0
0,Connecticut
1,Delaware
2,Indiana
3,Iowa
4,Kansas
5,Kentucky
6,Louisiana
7,Massachusetts
8,Michigan
9,Minnesota
10,Missouri
11,Montana
12,Nebraska
13,New Hampshire
14,North Carolina
15,Oklahoma
16,Oregon
17,South Carolina
18,Utah
19,Wisconsin
